Name,Name (Arabic),Description,Description (Arabic),Site Name,Type,Display Order
Amenhotep III and Queen Tiye,أمنحتب الثالث والملكة تي,"Overview
 This monolith group statue is the largest known dyad (double statue) ever carved. It depicts the 18th-Dynasty Egyptian Pharaoh Amenhotep III alongside his Great Royal Wife, Queen Tiye, and three of their daughters. Originally standing in the Pharaoh's mortuary temple in Western Thebes, it is now the breathtaking centerpiece of the main hall at the Egyptian Museum in Cairo.
 
 Physical Description & Symbolism
 Carved from a single massive block of limestone, the statue stands an impressive 7 meters high and 4.4 meters wide. The figures are distinctively styled with almond-shaped eyes and curved eyebrows typical of the late 18th dynasty.
 Amenhotep III is depicted in traditional royal attire, wearing the nemes headdress with a uraeus, a false beard, and a kilt. Uniquely, Queen Tiye is seated to his left at an equal height—a powerful testament to her prominent status. She wears a close-fitting dress and a heavy vulture headdress crowned with double cobras representing Upper and Lower Egypt. Her right arm rests affectionately around her husband's waist.
 
 The Royal Daughters
 The monument also features three smaller figures of the royal princesses:
 
 Princess Henuttaneb: Standing between her parents, depicted as a grown woman with a full wig and plumes.
 
 Princess Nebetah: Standing next to the Pharaoh (partially damaged). This is the only known statue depicting her.
 
 An Unnamed Princess: Standing next to Queen Tiye, whose identifying inscriptions have been lost to time.
 
 Historical Context
 Historians believe the statue was carved during the third decade of the king's reign, likely to commemorate his first ""Sed festival"" (royal jubilee). The high-quality limestone used may have been sourced from excavations for the nearby tomb of Kheruef, Queen Tiye’s steward.
 
 A Journey of Discovery and Restoration
 The original mortuary temple was built too close to the Nile's floodplain and fell into ruin within 200 years. The statue was discovered in fragments in the late 19th century and was meticulously moved to Cairo and reassembled for the museum's opening in 1902.
 Its restoration is an ongoing story. A missing limestone head belonging to Princess Nebetah was identified in a private collection in the 2000s, and an exact replica was attached to the statue. More recently, in 2011, rescue excavations for a new sewage system in Luxor unearthed six major missing fragments, including parts of the royal headdresses, limbs, and the statue's base. With these additions, this ancient masterpiece is now approximately 70% complete.","نبذة تاريخية
 يُعد هذا التمثال المنحوت من كتلة حجرية واحدة أكبر تمثال مزدوج (ثنائي) تم اكتشافه على الإطلاق. يصور التمثال الفرعون ""أمنحتب الثالث"" (من الأسرة الثامنة عشرة) بجوار زوجته الملكية العظيمة ""تي""، وثلاث من بناتهما. كان التمثال يزين في الأصل المعبد الجنائزي للفرعون في مدينة هابو بغرب طيبة، ولكنه يقف اليوم كقطعة أثرية مركزية تخطف الأنظار في القاعة الرئيسية للمتحف المصري بالقاهرة.
 
 الوصف المادي والرمزية
 التمثال مصنوع بالكامل من الحجر الجيري، ويتميز بضخامته حيث يبلغ ارتفاعه 7 أمتار وعرضه 4.4 متر. تتميز الوجوه بالعيون اللوزية والحواجب المقوسة التي ميزت أواخر الأسرة الثامنة عشرة.
 يظهر أمنحتب الثالث بزيه الملكي المكون من غطاء الرأس ""النمس"" وحية الكوبرا واللحية المستعارة. وفي مشهد يعكس قوة ونفوذ الملكة ""تي""، تجلس الملكة على يسار الفرعون وتساويه تماماً في الطول والحجم، وتلف ذراعها الأيمن حول خصر زوجها. ترتدي الملكة تاجاً معقداً يضم نسر الصعيد وحياتي كوبرا تمثلان مصر العليا والسفلى.
 
 أميرات العائلة الملكية
 يضم التمثال ثلاث شخصيات أصغر حجماً تمثل بنات الزوجين الملكيين:
 
 الأميرة حنوت تانِب: تقف كشابة بالغة في المنتصف بين والديها.
 
 الأميرة نبت آح: تقف بجوار والدها (وهو التمثال الوحيد المعروف الذي يصور هذه الأميرة).
 
 أميرة غير معروفة: تقف بجوار الملكة تي، وقد فُقد اسمها بمرور الزمن بسبب تلف التمثال.
 
 السياق الزمني
 يُرجح علماء الآثار أن التمثال نُحت في العقد الثالث من حكم الملك، وتحديداً تزامناً مع احتفاله بـ ""عيد السد"" (اليوبيل الملكي الأول). ويُعتقد أن الحجر الجيري عالي الجودة المستخدم في النحت تم استخراجه أثناء حفر مقبرة ""خرويف""، المشرف على شئون الملكة تي.
 
 رحلة الاكتشاف والترميم
 نظراً لبناء المعبد الجنائزي الأصلي بالقرب من السهول الفيضية للنيل، تعرض للدمار بعد أقل من 200 عام. وفي أواخر القرن التاسع عشر، عُثر على التمثال محطماً إلى أجزاء، وتم نقله وتجميعه في القاهرة استعداداً لافتتاح المتحف المصري عام 1902.
 لم تتوقف قصة ترميم التمثال هنا؛ ففي العقد الأول من الألفية، تم التعرف على الرأس المفقودة للأميرة ""نبت آح"" ضمن مجموعة مقتنيات خاصة، وتم صنع نسخة مطابقة وتركيبها. وفي عام 2011، وأثناء حفريات لتركيب شبكة صرف صحي في الأقصر، تم اكتشاف ستة أجزاء ضخمة مفقودة من التمثال (شملت أجزاء من التيجان والأطراف والقاعدة). وبفضل هذه الاكتشافات الحديثة، استعاد هذا الأثر العظيم حوالي 70% من هيكله الأصلي.",The Egyptian Museum,Statue,0
Amun and Mut,آمون وموت,"Discovery and Restoration
 This colossal dyad was discovered in the colonnade of King Thutmose I, located between the fourth and fifth pylons at the Great Temple of Amun in Karnak. It was originally found in fragments and was meticulously reassembled during 1998 and 1999.
 
 Physical Description and Attire
 The monument represents the god Amun and his consort, the goddess Mut. The goddess sits to Amun’s right, affectionately embracing him with her left arm, while Amun’s left hand grasps an ankh sign, symbolizing life. Amun is depicted wearing a broad collar, an elaborate corselet, and a pleated kilt. The double feathered crown that once sat atop his head is mostly lost to time. Mut is beautifully adorned in a double crown, a tripartite wig featuring a uraeus snake, a vulture headdress, and a detailed feathered dress with two straps.
 
 Historical Significance and Hidden Identity
 The texts engraved on the throne and the base of the statue explicitly name King Horemheb of the 18th Dynasty. Interestingly, the facial features of the divine couple do not just represent the gods; they intentionally reflect the real-life features of King Horemheb and his wife, Queen Mutnedjmet.","الاكتشاف والترميم
 اكتُشف هذا التمثال المزدوج الضخم في صالة أعمدة الملك تحتمس الأول، وتحديداً بين الصرحين الرابع والخامس في معبد الكرنك العظيم. وقد عُثر عليه محطماً إلى عدة قطع، وتم تجميعه وترميمه بنجاح بين عامي 1998 و1999.
 
 الوصف الفني والملابس
 يصور التمثال الإله ""آمون"" وزوجته المعبودة ""موت"". تجلس المعبودة على يمين آمون وتعانقه بذراعها الأيسر، بينما يمسك آمون بيده اليسرى علامة ""عنخ"" (رمز الحياة). يظهر آمون مرتدياً قلادة عريضة، ودرعاً مزخرفاً، ونقبة ذات ثنيات، بينما فُقد معظم تاجه المكون من ريشتين مزدوجتين. في المقابل، تتألق ""موت"" بتاج مزدوج، وشعر مستعار ثلاثي الأجزاء مزين بحية الكوبرا، وغطاء رأس على شكل نسر، بالإضافة إلى فستان مزين بالريش ومزود بحمالتين.
 
 الأهمية التاريخية والسر الخفي
 تحمل النصوص المنقوشة على العرش وقاعدة التمثال اسم الملك ""حورمحب"" من الأسرة الثامنة عشرة. والمثير للاهتمام أن ملامح وجهي الزوجين الإلهيين ليست مجرد تصوير تقليدي للآلهة، بل تعكس بشكل واضح وملحوظ الملامح الحقيقية للملك حورمحب وزوجته الملكة ""موت نجمت"".",The Grand Egyptian Museum,Statue,1
Anubis Shrine,مقصورة أنوبيس,"Overview and Discovery
 Part of the exquisite burial equipment of the 18th-Dynasty Pharaoh Tutankhamun, the Anubis Shrine was discovered almost intact in 1922 by Howard Carter. It was found guarding the entrance to the Treasury, deliberately facing west—the direction of the afterlife in ancient Egyptian belief. Today, this iconic artifact is a prominent exhibit at the Egyptian Museum in Cairo.
 
 The Guardian Statue
 Resting majestically on the roof of the shrine is a life-sized statue of the god Anubis in the form of a recumbent jackal. Crafted from wood and painted pitch black, it features stunning details: gold leaf adorning the ears, eyebrows, and collar, solid silver claws, and striking inlaid eyes made of calcite and obsidian. When first discovered, the jackal was wrapped in a linen shirt dating back to Pharaoh Akhenaten, decorated with delicate floral collars of blue lotus, and held an ivory writing palette between its front paws.
 
 The Golden Shrine
 The trapezoidal base of the shrine is designed to resemble a monumental temple pylon. Made of wood covered with plaster and gold leaf, its sides are richly decorated with symbols of endurance and life, including the djed pillars of Osiris and the tyet knots of Isis. Inside, the shrine housed ritual objects, amulets, and a large compartment originally meant for jewelry, which had been disturbed by ancient tomb robbers.
 
 Procession and The Pharaoh's Curse
 Mounted on a sledge-shaped palanquin with carrying poles, the shrine was undoubtedly used in Tutankhamun's funerary procession before being placed to guard his canopic chest. Interestingly, a magical clay brick was found on the floor in front of it, inscribed with a protective spell to keep intruders away from the secret chamber. This specific inscription was misinterpreted and heavily sensationalized by the international press in the 1920s, giving birth to the famous legend of the ""Curse of the Pharaohs.""","نبذة عن الاكتشاف
 تُعد مقصورة أنوبيس من أبرز قطع الأثاث الجنائزي للفرعون الشاب ""توت عنخ آمون"" (الأسرة الثامنة عشرة)، والتي اكتشفها عالم الآثار ""هوارد كارتر"" شبه سليمة في عام 1922. عُثر على المقصورة وهي تقف شامخة لحراسة مدخل حجرة الخزانة، متجهة نحو الغرب وهو اتجاه العالم الآخر في العقيدة المصرية القديمة. وتُعرض هذه القطعة الأثرية الفريدة حالياً في المتحف المصري بالقاهرة.
 
 تمثال الحارس (أنوبيس)
 يعتلي سقف المقصورة تمثال مذهل للإله أنوبيس على هيئة حيوان ""ابن آوى"" الرابض. التمثال مصنوع من الخشب المطلي باللون الأسود القاتم، ويتزين بتفاصيل دقيقة من الذهب الخالص في الأذنين والحواجب والطوق، بالإضافة إلى مخالب من الفضة، وعيون تخطف الأنظار مطعمة بالكالسيت والزجاج البركاني (السبج). عند اكتشافه، كان التمثال مغطى بقميص من الكتان يعود لعهد الفرعون ""أخناتون""، ومزيناً بأطواق زهرية رقيقة من اللوتس الأزرق، وممسكاً بلوحة كتابة من العاج بين مخالبه الأمامية.
 
 المقصورة الذهبية
 تأخذ القاعدة الخشبية المذهبة للمقصورة شكلاً هندسياً يشبه بوابات المعابد الضخمة. وتتزين جوانبها بنقوش ورموز تعبر عن البقاء والحياة، مثل أعمدة ""جد"" المرتبطة بالإله أوزوريس، وعقدة ""تيت"" الخاصة بالمعبودة إيزيس. احتوت المقصورة من الداخل على أدوات طقسية وتمائم، إلى جانب قسم كبير مخصص للمجوهرات، والذي تبين أنه تعرض للعبث والنهب على يد لصوص المقابر في العصور القديمة.
 
 الموكب الجنائزي ولعنة الفراعنة
 بُنيت المقصورة على قاعدة تشبه الزلاجة ومزودة بأعمدة حمل، مما يؤكد استخدامها في الموكب الجنائزي لوداع الفرعون قبل وضعها لحراسة الأواني الكانوبية. والمثير للاهتمام أنه عُثر أمام المقصورة على ""طوبة سحرية"" من الطين تحمل تعويذة لحماية الحجرة السرية من المتسللين. هذه التعويذة تحديداً هي ما استغلته الصحافة العالمية آنذاك وقامت بتهويله، مما أدى إلى ولادة الأسطورة الشهيرة المعروفة باسم ""لعنة الفراعنة"".",The Grand Egyptian Museum,Shrine,2
The Colossal Head of Augustus (Octavius),الرأس الضخم للإمبراطور أغسطس (أوكتافيوس),"Overview and Imperial Legacy
 This colossal head is a monumental tribute to Octavius, famously known as Augustus, who shaped history as the first Roman Emperor reigning from 27 BC to 14 AD. Standing as a profound symbol of imperial power and legacy, the artifact holds immense historical and archaeological significance and continues to be a subject of dedicated research and study today.
 
 Artistic Details and Origins
 Carved masterfully from marble in 80 AD, the artifact is an exquisite copy of an earlier statue dating back to 27 AD. It originally belonged to a much larger colossal statue that was prominently displayed to decorate a significant public space in the ancient city of Athribis.
 
 Museum Journey
 The artifact has a notable modern history of exhibition across Egypt's prominent cultural institutions. It was temporarily housed and displayed at the Bibliotheca Alexandrina Antiquities Museum starting in 2007, before finally returning to its permanent home at the Graeco-Roman Museum in Alexandria on August 16, 2022.","نبذة عن الإرث الإمبراطوري
 يُعد هذا الرأس الضخم تكريماً أثرياً عظيماً لأوكتافيوس، المعروف تاريخياً باسم ""أغسطس""، والذي سطر اسمه كأول إمبراطور روماني حكم في الفترة من 27 قبل الميلاد وحتى 14 ميلادياً. يمثل هذا الأثر رمزاً مهيباً للنفوذ والإرث الإمبراطوري، ويحظى بأهمية تاريخية وأثرية بالغة تجعله محط اهتمام مستمر للبحث والدراسة حتى يومنا هذا.
 
 التفاصيل الفنية والنشأة
 نُحت هذا الرأس ببراعة من الرخام في عام 80 ميلادياً، وهو بمثابة نسخة دقيقة من تمثال أقدم يعود تاريخه إلى عام 27 ميلادياً. وكان هذا الرأس في الأصل جزءاً من تمثال ضخم يزين أحد الساحات أو الأماكن البارزة في مدينة ""أتريب"" (Athribis) الأثرية القديمة.
 
 رحلة العرض المتحفي
 يمتلك هذا الأثر رحلة عرض حديثة مميزة بين أروقة المؤسسات الثقافية المصرية؛ فقد استقر وعُرض مؤقتاً في متحف الآثار بمكتبة الإسكندرية منذ عام 2007، قبل أن يعود أخيراً ليستقر في مقره الدائم بالمتحف اليوناني الروماني في مدينة الإسكندرية بتاريخ 16 أغسطس 2022.",Greco-Roman Museum,Bust,3
The Colossal Head of Emperor Hadrian,الرأس الضخم للإمبراطور هادريان,"Subject and Historical Significance
 This striking colossal head depicts Emperor Hadrian, who ruled the Roman Empire from 117 to 138 AD. It stands as a powerful representation of the profound Roman cultural and architectural influence that spread across the ancient world during the 2nd century AD.
 
 Artistic Style
 Characteristic of the Roman Imperial period, the sculpture showcases a highly detailed and realistic likeness of the emperor. It prominently features his signature curly hair and bearded face, a stylistic choice that set a new trend among Roman rulers of that era.
 
 Renowned Collections
 Masterpieces of this specific style and historical value are highly prized globally. Similar sculptures of Emperor Hadrian are prominently housed and displayed in some of the world's most renowned collections, including the British Museum and the Graeco-Roman Museum in Alexandria.","الشخصية والأهمية التاريخية
 يصور هذا الرأس الضخم الإمبراطور ""هادريان""، الذي حكم الإمبراطورية الرومانية في الفترة من 117 إلى 138 ميلادياً. ويُعد هذا الأثر تجسيداً قوياً للتأثير الثقافي والمعماري الروماني الواسع الذي ساد العالم القديم خلال القرن الثاني الميلادي.
 
 الأسلوب الفني
 يعكس النحت السمات الفنية العريقة والمميزة لعصر الإمبراطورية الرومانية. ويبرز النحات الملامح الشخصية الدقيقة للإمبراطور، والتي يغلب عليها الشعر المجعد واللحية، وهو الأسلوب الذي أرسى من خلاله هادريان توجهاً جديداً لمظهر الحكام الرومان في ذلك العصر.
 
 أماكن العرض المماثلة
 تحظى هذه النوعية من المنحوتات بقيمة عالمية كبرى، حيث تحتضن المجموعات الفنية المرموقة قطعاً أثرية مشابهة وعالية القيمة للإمبراطور هادريان، وتُعرض أبرز هذه الأعمال في المتحف البريطاني، وكذلك في المتحف اليوناني الروماني بمدينة الإسكندرية.",Greco-Roman Museum,Bust,4
Bust of the God Serapis,تمثال نصفي للإله سرابيس,"Overview and Historical Context
 This striking marble bust depicts the Greco-Egyptian deity Serapis, a syncretic god who gained immense popularity during the Ptolemaic era in Alexandria. The deity was intentionally created to act as a cultural bridge connecting the Egyptian and Greek civilizations, harmoniously blending the attributes of the Egyptian gods Osiris and Apis with the majestic traits of the Greek gods Zeus and Hades.
 
 Iconography and Artistic Details
 The sculpture brilliantly captures the classic iconography of Serapis. He is elegantly depicted as a mature, powerful man with a thick beard and flowing hair. Traditionally, his depictions include a ""kalathos""—a basket symbolizing abundance and holy secrets—resting gracefully upon his head, emphasizing his divine authority and connection to the underworld and fertility.
 
 Museum Location
 This specific historical masterpiece is a prominent symbol of Alexandria's rich multicultural past and is proudly housed among the esteemed collections of the Graeco-Roman Museum in Alexandria.","نبذة تاريخية والنشأة
 يصور هذا التمثال النصفي الرخامي الرائع المعبود اليوناني المصري ""سرابيس""، وهو إله توفيقي برزت عبادته واكتسبت شهرة واسعة خلال العصر البطلمي في الإسكندرية. تم ابتكار عبادة هذا الإله خصيصاً ليكون جسراً ثقافياً يربط بين الحضارتين المصرية واليونانية، حيث يجمع ببراعة بين صفات الآلهة المصرية مثل ""أوزوريس"" و""العجل آبيس"" مع جلال وهيبة الآلهة اليونانية مثل ""زيوس"" و""هاديس"".
 
 الرمزية والتفاصيل الفنية
 يعكس التمثال السمات الفنية الكلاسيكية والمميزة للإله سرابيس. حيث يظهر في هيئة رجل ناضج ذي لحية كثيفة ومهيبة وشعر منسدل. وكما جرت العادة في تصويره، فإنه يحمل فوق رأسه ما يُعرف باسم ""الكالاثوس"" (وهي سلة ترمز إلى الوفرة والخيرات والأسرار المقدسة)، مما يؤكد على سلطته الإلهية وارتباطه بالخصوبة والعالم الآخر.
 
 مقر العرض الحالي
 تُعد هذه التحفة الفنية التاريخية شاهداً حياً على الماضي المتعدد الثقافات لمدينة الإسكندرية، وتُعرض بكل فخر ضمن المقتنيات العريقة للمتحف اليوناني الروماني بمدينة الإسكندرية.",Greco-Roman Museum,Bust,5
"God Ptah, King Ramesses II and Goddess Sekhmet",الإله بتاح، الملك رمسيس الثاني، والمعبودة سخمت,"Overview and Divine Significance
 This colossal red granite statue represents a powerful triad blending divine majesty with royal authority. It beautifully depicts King Ramesses II standing alongside two highly revered ancient Egyptian deities: Ptah, the creator god and patron of craftsmen, and Sekhmet, the fierce and powerful goddess of war.
 
 Discovery and Historical Details
 The monument was originally discovered in 1904 near the Temple of Heryshef at Heracleopolis Magna (known today as Ihnasya el-Medina). A fascinating archaeological detail is hidden in plain sight; the inscriptions carved on the base and the back pillar of the statue strongly suggest that the figure of the goddess Sekhmet was actually modified to replace an earlier depiction of the local god Harsaphes.
 
 Current Location
 Today, this magnificent and historically rich piece of ancient Egyptian artistry is proudly housed and displayed among the world-class collections at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والأهمية التاريخية
 يُعد هذا التمثال الضخم المنحوت من الجرانيت الأحمر تجسيداً مهيباً يجمع بين السلطة الإلهية والملكية. يصور التمثال ثالوثاً قوياً يضم الملك ""رمسيس الثاني"" واقفاً جنباً إلى جنب مع اثنين من أعظم الآلهة المصرية القديمة: ""بتاح"" إله الخلق وراعي الحرفيين، والمعبودة ""سخمت"" إلهة الحرب القوية والشرسة.
 
 الاكتشاف والتفاصيل الأثرية
 اكتُشف هذا الأثر العظيم في عام 1904 بالقرب من معبد ""حريشف"" في مدينة إهناسيا الأثرية (المعروفة قديماً باسم هيراكليوبوليس ماجنا). ومن التفاصيل المذهلة التي كشفت عنها النقوش الموجودة على قاعدة التمثال وعمود الظهر، أن هيئة المعبودة سخمت قد نُحتت وعدلت لاحقاً لتحل محل تصوير أقدم للإله المحلي ""حريشف"".
 
 مقر العرض الحالي
 تُعرض هذه التحفة الأثرية الخالدة حالياً بكل فخر ضمن المقتنيات العظيمة في المتحف المصري الكبير بمحافظة الجيزة، لتكون شاهداً على عظمة الفن والتاريخ المصري القديم.",The Grand Egyptian Museum,Statue,6
Colossal Statue of a Ptolemaic Queen as Isis,تمثال ضخم لملكة بطلمية في هيئة المعبودة إيزيس,"Overview and Divine Representation
 This monumental collectible is a breathtaking piece of Egyptian antiquity, representing a Ptolemaic queen elegantly depicted in the divine form of the goddess Isis. It stands as a magnificent example of the cultural and religious blending that characterized the Ptolemaic era in Egypt, merging royal authority with divine reverence.
 
 Physical Description and Iconography
 Crafted from durable stone, highly likely granite, this awe-inspiring sculpture is one of the largest statues of its kind ever discovered, reaching an astonishing height of up to 11 meters. The queen is adorned with the classic iconography of Isis, featuring a distinctive crown where a majestic sun disk rests between two cow horns, elegantly topped with divine feathers.
 
 Discovery and Current Location
 Adding to its mystique, this colossal artifact was remarkably recovered from the depths of the Mediterranean Sea near Alexandria, standing as a silent witness to the submerged ancient history of the city. Today, it is proudly showcased as a centerpiece among the prime antiquities at the Graeco-Roman Museum in Alexandria.","نبذة عامة والتجسيد الإلهي
 يُعد هذا التمثال الأثري الضخم من القطع النادرة والمميزة في الآثار المصرية، حيث يصور إحدى الملكات البطالمة في هيئة المعبودة ""إيزيس"". ويعكس هذا الأثر ببراعة الاندماج الثقافي والديني العميق الذي ساد مصر خلال العصر البطلمي، حيث امتزجت السلطة الملكية بالقدسية الإلهية.
 
 الوصف الفني والرمزية
 صُنع هذا الأثر المهيب من الحجر الصلب، ويُرجح أنه من الجرانيت، ويُصنف كواحد من أكبر التماثيل من نوعه على الإطلاق، حيث يصل ارتفاعه المذهل إلى حوالي 11 متراً. تتألق الملكة بتاج مميز يضم قرص الشمس مستقراً بين قرني بقرة، ويعلوه ريش، وهو التاج التقليدي الشهير والرمز الأبرز للمعبودة إيزيس.
 
 الاكتشاف ومقر العرض
 مما يضفي طابعاً أسطورياً على هذا التمثال أنه تم انتشاله من أعماق البحر الأبيض المتوسط بالقرب من سواحل الإسكندرية، ليكون شاهداً حياً على التاريخ الغارق للمدينة القديمة. ويُعرض التمثال حالياً بكل فخر كأحد أبرز وأهم القطع الأثرية في المتحف اليوناني الروماني بمدينة الإسكندرية.",Greco-Roman Museum,Statue,7
Gold Funerary Mask of King Psusennes I,القناع الجنائزي الذهبي للملك بسوسنيس الأول,"Overview and Royal Protection
 This magnificent gold funerary mask depicts King Psusennes I wearing the traditional royal nemes headdress, which was typically made of linen. Surmounting the headdress is the sacred uraeus, or royal cobra, a powerful symbol meant to protect the pharaoh against his opponents and enemies both in life and in the afterlife.
 
 Craftsmanship and Artistic Details
 The mask is masterfully crafted from two pieces of beaten gold, which were expertly soldered and joined together using five nails visible only from the back. The king's face is framed by a divine plaited false beard, an enduring symbol of royal dignity, held in place by straps meticulously inlaid with glass paste.
 
 Intricate Adornments
 The same delicate glass paste is used to highlight the eyebrows and eyelids, while the striking, lifelike eyes are fashioned from contrasting black and white stone. Additionally, the pharaoh's chest is adorned with a broad usekh (or wesekh) collar, beautifully incised with intricate floral decorations.","نبذة عامة والرمزية الملكية
 يصور هذا القناع الجنائزي الذهبي المذهل الملك ""بسوسنيس الأول"" مرتدياً غطاء الرأس الملكي التقليدي المعروف باسم ""النمس"" (والذي كان يُصنع عادة من الكتان). ويتوج هذا الغطاء حية الكوبرا الملكية المقدسة، وهي رمز قوي يهدف إلى حماية الفرعون من خصومه وأعدائه في الحياة الدنيا والعالم الآخر.
 
 براعة الصنع والتفاصيل الفنية
 صُنع هذا القناع ببراعة فائقة من قطعتين من الذهب المطروق، تم لحمهما وتجميعهما معاً باستخدام خمسة مسامير لا يمكن رؤيتها إلا من الجهة الخلفية. يزين وجه الملك لحية مستعارة مضفرة ذات طابع إلهي، والتي تُعد رمزاً أصيلاً للوقار والهيبة، ومثبتة بأشرطة مطعمة بعجينة الزجاج.
 
 الحلي والزخارف الدقيقة
 استُخدمت عجينة الزجاج الدقيقة أيضاً لتحديد الجفون والحواجب، بينما صُممت العيون الجذابة بعناية من أحجار باللونين الأبيض والأسود لتمنح الوجه نظرة نابضة بالحياة. وبالإضافة إلى ذلك، يتزين صدر الفرعون بقلادة عريضة تُعرف باسم ""الأوسخ""، وهي منقوشة ومزينة بزخارف نباتية بديعة.",The Egyptian Museum,Mask,8
