Name,Name (Arabic),Description,Description (Arabic),Site Name,Type,Display Order
Golden Throne of King Tutankhamun,العرش الذهبي للملك توت عنخ آمون,"Overview and Discovery
 Considered one of the most significant and well-preserved pieces of furniture from ancient Egypt, the golden throne of Tutankhamun is a masterfully crafted symbol of royal power and divine authority. It was discovered in 1922 by British archaeologist Howard Carter, resting beneath a hippopotamus funerary bed in the antechamber of the young king’s tomb. Dating back to the late 18th Dynasty, its vibrant colors remain remarkably unfaded over three millennia.
 
 Materials and Craftsmanship
 The throne stands as a testament to the exceptional skill of ancient Egyptian artisans. It is constructed from wood meticulously covered with gold leaf and silver, and richly inlaid with semi-precious stones, colored glass, and vibrant quartz plates. This exquisite combination creates a dazzling visual richness that brilliantly enhances the intricate, chased gold patterns.
 
 Design and The Royal Scene
 The luxurious armchair features projecting lions’ heads that guard the seat, while the arms take the form of winged rearing cobras wearing the double crown of Egypt. The backrest showcases one of the most intimate and famous scenes in art history: King Tutankhamun seated while his wife, Queen Ankhesenamun, anoints him with perfumed oil. Reflecting the Amarna artistic style, the sun disc Aten shines above them, with the royal couple's bodies inlaid in colored glass and their linen robes crafted in silver.
 
 Symbolism and Divine Authority
 Beyond its physical beauty, the throne represents majesty, stability, safety, and balance. Its name in Egyptian hieroglyphs, ""Ist,"" directly references the mother goddess Isis, emphasizing the divine protection and legitimacy of the pharaoh. Today, this unique historical masterpiece is proudly displayed at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والاكتشاف
 يُعد العرش الذهبي للملك ""توت عنخ آمون"" من أهم قطع الأثاث وأكثرها حفظاً من مصر القديمة، وهو تحفة فنية تجسد السلطة الملكية والشرعية الإلهية. اكتشفه عالم الآثار البريطاني ""هوارد كارتر"" عام 1922 أسفل سرير جنائزي في الحجرة الأمامية لمقبرة الملك الشاب. يعود تاريخ هذا العرش إلى أواخر الأسرة الثامنة عشرة، وما زالت ألوانه الزاهية صامدة بشكل مذهل لأكثر من ثلاثة آلاف عام.
 
 براعة الصنع والخامات
 يمثل هذا العرش دليلاً حياً على المهارة الاستثنائية للحرفيين المصريين القدماء. صُنع العرش من الخشب المغطى برقائق الذهب والفضة، وتم تطعيمه بعناية فائقة بالأحجار شبه الكريمة، والزجاج الملون، وألواح الكوارتز الزاهية، مما أضفى ثراءً بصرياً رائعاً يتناغم ببراعة مع الزخارف الذهبية الدقيقة.
 
 التصميم والمشهد الملكي
 يتميز الكرسي الفاخر بتصميم فريد؛ حيث تبرز رؤوس أسود لحراسة المقعد، بينما صُممت مساند الذراعين على هيئة حيات كوبرا مجنحة ترتدي التاج المزدوج لمصر. ويزين ظهر العرش واحداً من أشهر المشاهد الحميمية في تاريخ الفن، حيث يظهر الملك الشاب جالساً بينما تقوم زوجته الملكة ""عنخ إسن آمون"" بدهنه بالزيت العطري. صُمم المشهد متأثراً بأسلوب ""العمارنة"" الفني، حيث يشرق قرص الشمس ""آتون"" فوق الزوجين، وتم تطعيم أجسادهما بالزجاج الملون وملابسهما بالفضة.
 
 الرمزية والسلطة الإلهية
 إلى جانب روعته الفنية، يرمز العرش إلى الجلالة والاستقرار والأمان والتوازن. يُنطق اسم العرش في الهيروغليفية ""إست""، وهو يشير مباشرة إلى المعبودة الأم ""إيزيس""، مما يؤكد على الحماية الإلهية والشرعية الملكية للفرعون وربطه بالعالم الإلهي. تُعرض هذه التحفة الفنية الفريدة اليوم بكل فخر في المتحف المصري الكبير بالجيزة.",The Grand Egyptian Museum,Statue,9
Guardian Statues of Tutankhamun,تماثيل الحراس للملك توت عنخ آمون,"Discovery and Placement
 These iconic guardian statues were discovered in 1922 by British Egyptologist Howard Carter in the antechamber of Tutankhamun’s tomb (KV62) in the Valley of the Kings. Acting as formidable sentinels, they stood on either side of the sealed doorway leading to the burial chamber. Facing each other, they were strategically placed to protect the young pharaoh’s resting place and guard the blocked and plastered entrance to the afterlife.
 
 Appearance and Materials
 Both life-sized statues are crafted from wood covered with plaster and strikingly painted in black, beautifully accented with gold elements. The young pharaoh is depicted wearing a traditional nemes headcloth, a pleated royal kilt, sandals, and elaborate jewelry including a broad collar, wristbands, and bracelets. Each sentinel holds a papyrus staff in the left hand and a mace in the right, standing with the left leg advanced in a classic masculine striding posture. The striking black coloration is deeply symbolic, representing fertility, rebirth, and resurrection—echoing the fertile silt of the Nile and the pharaoh’s association with Osiris, god of the underworld.
 
 Symbolism and Cultural Significance
 Serving both as guardians and Ka (spirit) statues, they represent Tutankhamun’s protective presence and divine power. While the statues appear almost identical at first glance, subtle differences exist in their features and decoration, highlighting the meticulous craftsmanship of the era. Inscriptions on the kilt of one statue invoke eternal life, reinforcing the theme of immortality. Today, these powerful testaments to 18th-Dynasty artistry and religious beliefs are prominent highlights of the Tutankhamun collection at the Grand Egyptian Museum (GEM) in Giza.","الاكتشاف وموقع العرض
 اكتُشفت هذه التماثيل الحارسة الشهيرة عام 1922 على يد عالم الآثار البريطاني ""هوارد كارتر"" في الحجرة الأمامية لمقبرة الملك توت عنخ آمون بوادي الملوك. وُضعت التماثيل كحراس أشداء على جانبي الباب المغلق المؤدي إلى حجرة الدفن، حيث كانا يواجهان بعضهما البعض لحماية مثوى الفرعون الشاب وحراسة المدخل الذي كان مسدوداً ومغطى بالجص.
 
 الوصف المادي والخامات
 نُحت كلا التمثالين بالحجم الطبيعي من الخشب المغطى بطبقة من الجص، وطُليا بلون أسود ساحر مزين بتفاصيل ذهبية دقيقة. يظهر الفرعون الشاب مرتدياً غطاء الرأس التقليدي ""النمس""، ونقبة ملكية ذات ثنيات، وصنادل، بالإضافة إلى حلي معقدة تشمل قلادة عريضة وأساور للمعصم والذراع. يحمل كل تمثال عصا من البردي في يده اليسرى وصولجاناً في يده اليمنى، ويقف مقدماً ساقه اليسرى في وضعية الخطوة العسكرية التقليدية. ويحمل اللون الأسود دلالة رمزية عميقة تعبر عن الخصوبة والبعث والقيامة، في إشارة إلى طمي النيل الخصب وارتباط الفرعون بالإله ""أوزوريس"" إله العالم الآخر.
 
 الرمزية والأهمية الثقافية
 لعبت هذه التماثيل دوراً مزدوجاً كحراس وتماثيل لروح ""الكا""، لتمثل الحضور الواقي والقوة الإلهية للملك توت عنخ آمون. وعلى الرغم من التشابه الكبير بينهما، إلا أن هناك اختلافات طفيفة في الملامح والزخارف تبرز براعة الحرفيين في ذلك العصر. تحمل النقوش الموجودة على نقبة أحد التمثالين دعوات بحياة أبدية للملك، مما يعزز فكرة الخلود. واليوم، تُعد هذه التماثيل التي تجسد روعة الفن والعقيدة في الأسرة الثامنة عشرة، من أبرز القطع المعروضة ضمن مجموعة الملك الذهبي بالمتحف المصري الكبير بالجيزة.",The Grand Egyptian Museum,Statue,10
Hanging Obelisk of Ramesses II,المسلة المعلقة لرمسيس الثاني,"Overview and Origins
 Standing as a magnificent welcome to visitors at the Grand Egyptian Museum, the Hanging Obelisk of Ramesses II is a remarkable architectural marvel. Originally erected alongside several others in the ancient city of Tanis (San el-Hagar) in the Eastern Delta, this majestic granite monument reaches a total height of 16 meters, making it the tallest obelisk that ever stood in that ancient city.
 
 An Architectural Innovation
 Weighing an impressive 87 tons, this masterpiece has been transformed into the world's first suspended obelisk. It is securely lifted on a specially designed platform supported by four massive pillars resting on a huge concrete base. This highly innovative engineering not only minimizes vibrations to protect the priceless monument but also seamlessly bridges ancient Egyptian craftsmanship with modern architectural ingenuity.
 
 The Hidden Cartouches
 The most unique aspect of this suspension design is the immersive experience it offers. For the first time in history, visitors can walk directly beneath the colossal obelisk to view the previously hidden cartouches of King Ramesses II intricately carved into its base. Additionally, the four sides of the monument are richly inscribed with the king's Horus name, throne name, and birth name, offering a profound glimpse into royal history.","نبذة عامة والنشأة
 تُعد المسلة المعلقة للملك ""رمسيس الثاني"" أعجوبة معمارية استثنائية، وهي أول تحفة أثرية تستقبل زوار المتحف المصري الكبير في ساحته الخارجية الشاسعة. أُقيمت هذه المسلة الجرانيتية المهيبة في الأصل بمدينة صان الحجر (تانيس قديماً) في شرق الدلتا، وتعتبر الأطول من بين المسلات التي وُضعت هناك، حيث يبلغ ارتفاعها الكلي حوالي 16 متراً.
 
 تصميم هندسي مبتكر
 تزن هذه المسلة الضخمة حوالي 87 طناً، وقد صُممت لتكون أول مسلة معلقة في العالم. ترتكز المسلة على منصة مدعومة بأربعة أعمدة ضخمة وقاعدة خرسانية متينة، وهو تصميم هندسي حديث ومبتكر يهدف إلى تقليل الاهتزازات لحماية الأثر، وفي الوقت نفسه يمثل رمزاً حضارياً يربط بين براعة المصريين القدماء والتطور المعماري المعاصر.
 
 الخراطيش الملكية المخفية
 يوفر هذا التصميم المعلق تجربة تفاعلية فريدة من نوعها؛ حيث يتيح للزوار لأول مرة في التاريخ السير مباشرة أسفل المسلة الضخمة ورؤية خراطيش الملك رمسيس الثاني التي ظلت مخفية في قاعدتها السفلية لآلاف السنين. وعلاوة على ذلك، تزين الجوانب الأربعة للمسلة نقوش غنية تحمل الاسم الحوري، واسم العرش، واسم الميلاد للملك العظيم.",The Grand Egyptian Museum,Statue,11
Head of Queen Hatshepsut,رأس الملكة حتشبسوت,"Overview and Royal Identity
 Recognized as one of the most successful female rulers in history, Queen Hatshepsut reigned during the 18th Dynasty of ancient Egypt (around 1479–1458 BC). This remarkable artifact showcases her unique representation as a female pharaoh. To assert her power and legitimacy in a predominantly male-dominated society, she masterfully navigated her dual identity by adopting male royal regalia and depicting herself with traditional kingly attributes.
 
 Artistic Features and Symbolism
 Crafted from painted limestone, this head is considered a true masterpiece of 18th-Dynasty sculpture. It was originally part of a larger monumental statue that depicted the queen in the divine form of the god Osiris. The sculpture beautifully preserves her distinctive feminine features, including gently curved eyebrows, wide eyes extended by elegant cosmetic lines, a delicate aquiline nose, full cheeks, and a gracious mouth. Interestingly, these soft features are strikingly paired with a ceremonial false beard, blending her feminine identity with the traditional masculine iconography of pharaonic authority.
 
 Historical Context and Location
 This specific masterpiece is closely associated with Hatshepsut’s mortuary temple at Deir el-Bahari, which stands as one of the most impressive architectural achievements of her reign. Today, this vital piece of history is proudly housed in the Egyptian Museum in Cairo, serving as a powerful testament to her enduring legacy and the fascinating complexities of gender representation in ancient Egyptian art.","نبذة عامة والهوية الملكية
 تُعد الملكة حتشبسوت واحدة من أنجح الحكام الإناث في التاريخ، وقد حكمت مصر خلال عصر الأسرة الثامنة عشرة (حوالي 1479-1458 قبل الميلاد). يعكس هذا الأثر المذهل تمثيلها الفريد كفرعون أنثى؛ ولتأكيد سلطتها وشرعيتها في مجتمع كان يهيمن عليه الذكور، حرصت على دمج هويتها كعاهلة مع التقاليد الملكية من خلال تبني الشارات الذكورية وتصوير نفسها بالسمات التقليدية للملوك الرجال.
 
 السمات الفنية والرمزية
 صُنع هذا الرأس من الحجر الجيري الملون، ويُعد تحفة فنية حقيقية من منحوتات الأسرة الثامنة عشرة. كان الرأس في الأصل جزءاً من تمثال أكبر يصور الملكة في الهيئة الإلهية للإله ""أوزوريس"". يبرز النحت ببراعة الملامح الأنثوية الرقيقة لحتشبسوت، والتي تشمل الحواجب المقوسة بلطف، والعيون الواسعة الممتدة بخطوط التجميل الأنيقة، والأنف الدقيق، والوجنتين الممتلئتين، والفم الرشيق. والمثير للاهتمام أن هذه الملامح الناعمة تقترن بشكل بارز باللحية المستعارة الاحتفالية، مما يخلق مزيجاً عبقرياً بين الأنوثة والأيقونات الذكورية التقليدية للسلطة الفرعونية.
 
 السياق التاريخي ومقر العرض
 يرتبط هذا الرأس الفريد ارتباطاً وثيقاً بمعبدها الجنائزي العظيم في الدير البحري، والذي يُصنف كواحد من أعظم الإنجازات المعمارية في فترة حكمها. واليوم، تُعرض هذه القطعة التاريخية الهامة بكل فخر في المتحف المصري بالقاهرة، لتقف كشاهد قوي على إرثها العظيم والأسلوب الفريد الذي اتبعته للتعبير عن هويتها وسلطتها في الفن المصري القديم.",The Egyptian Museum,Bust,12
Colossal Head of Pharaoh Akhenaten,الرأس الضخم للفرعون أخناتون,"Overview and Historical Significance
 This colossal head statue depicts the ancient Egyptian Pharaoh Akhenaten, a revolutionary ruler of the 18th Dynasty. He is renowned for introducing radical and unprecedented transformations to both Egyptian religion and art. Because later rulers systematically attempted to erase his legacy and destroy his monuments, surviving colossal statues like this one are incredibly rare and hold immense historical significance.
 The Amarna Art Style
 The sculpture brilliantly showcases the unique and highly distinctive artistic style characteristic of the Amarna Period. It prominently features the signature elongated facial structure and stylized proportions that Akhenaten introduced to boldly break away from the traditional, idealized pharaonic depictions of his predecessors.
 Current Location
 This striking monument is currently on prominent display in the Grand Hall of the Grand Egyptian Museum (GEM) in Giza. Located near the iconic Pyramids, the GEM stands proudly as the world's largest archaeological museum dedicated entirely to a single civilization, offering a breathtaking backdrop for this rare artifact.","نبذة عامة والأهمية التاريخية
 يصور هذا الرأس الضخم الفرعون المصري القديم ""أخناتون""، الحاكم الثوري الذي انتمى للأسرة الثامنة عشرة. يُعرف أخناتون بإحداثه تغييرات جذرية وغير مسبوقة في كل من الدين والفن المصري. ونظراً لأن الحكام اللاحقين حاولوا طمس إرثه وتدمير آثاره بشكل منهجي، فإن تماثيله الضخمة الباقية مثل هذا التمثال تُعد نادرة جداً وتحمل أهمية تاريخية استثنائية.
 طراز العمارنة الفني
 يبرز هذا النحت بوضوح الأسلوب الفني الفريد والمميز الذي عُرف به عصر ""العمارنة"". ويظهر ذلك جلياً في الملامح واستطالة الوجه والنسب الفنية غير المعتادة التي أدخلها أخناتون لكسر القواعد التقليدية والمثالية التي كانت تُتبع دائماً في نحت التماثيل الملكية الفرعونية.
 مقر العرض الحالي
 يُعرض هذا الأثر المهيب في مكان بارز داخل ""البهو العظيم"" بالمتحف المصري الكبير بالجيزة. ويُعد هذا المتحف، الواقع على مقربة من أهرامات الجيزة الخالدة، أكبر متحف أثري في العالم يُخصص بالكامل لحضارة واحدة، ليقدم للزوار تجربة بصرية وتاريخية لا تُنسى.",The Grand Egyptian Museum,Bust,13
Innermost Coffin of King Tutankhamun,التابوت الداخلي للملك توت عنخ آمون,"Overview and Discovery
 Discovered within the tomb of the boy king in the Valley of the Kings, this artifact remains one of the most iconic and breathtaking treasures of ancient Egypt. It served as the final resting place for the legendary Pharaoh Tutankhamun and is universally recognized as a masterpiece of ancient art.
 Material and Craftsmanship
 The coffin is an unparalleled marvel of ancient goldsmithing. It is constructed entirely from solid gold and weighs a staggering 110 kilograms. The gleaming surface is intricately decorated with highly detailed hieroglyphs and sacred religious symbols designed to guide and protect the king in the afterlife.
 Divine Iconography
 The stunning design depicts the young king in the traditional Osirian position, symbolizing his divine transformation and rebirth. His arms are crossed over his chest, firmly holding the sacred royal insignia: the heka scepter (crook) and the flail, which together represent his supreme authority, leadership, and power.
 Current Location
 Today, this magnificent golden treasure is safely housed and proudly displayed as a crown jewel at the Grand Egyptian Museum (GEM) in Giza, offering visitors a mesmerizing glimpse into royal ancient Egyptian burial practices.","نبذة عامة والاكتشاف
 يُعد هذا التابوت واحداً من أشهر وأعظم الكنوز الأثرية في تاريخ مصر القديمة. اكتُشف داخل مقبرة الملك الشاب في وادي الملوك، ليكون المثوى الأخير للفرعون الأسطوري توت عنخ آمون، ويُصنف عالمياً كأيقونة فريدة للفن المصري القديم.
 الخامات وبراعة الصنع
 يمثل هذا التابوت تحفة فنية لا مثيل لها في صياغة الذهب قديماً؛ فهو مصنوع بالكامل من الذهب الخالص ويبلغ وزنه المذهل أكثر من 110 كيلوجرامات. يتزين سطح التابوت اللامع بنقوش دقيقة تشمل نصوصاً هيروغليفية ورموزاً دينية مقدسة صُممت خصيصاً لإرشاد وحماية الملك في رحلته للعالم الآخر.
 الرمزية الدينية
 يصور التصميم المذهل الملك الشاب في الوضع ""الأوزيري"" التقليدي، مما يرمز إلى تحوله الإلهي والبعث. تتقاطع ذراعا الملك على صدره وهو يقبض بإحكام على الشارات الملكية المقدسة: صولجان ""الحكا"" (المعكوف) والمذبة، وهما رمزان يعبران بوضوح عن سلطته، وقيادته، وقوته المطلقة.
 مقر العرض الحالي
 يُعرض هذا الكنز الذهبي الذي يخطف الأنفاس حالياً بكل فخر كأحد درر التاج ضمن مقتنيات المتحف المصري الكبير بالجيزة، ليقدم للزوار مشهداً لا يُنسى لطقوس الدفن الملكية في مصر القديمة.",The Grand Egyptian Museum,Statue,14
Khafre Enthroned,تمثال خفرع الجالس,"Overview and Discovery
 This magnificent statue depicts Pharaoh Khafre, a powerful ruler of the Fourth Dynasty of ancient Egypt and the builder of the second largest pyramid at Giza. The historical artifact was famously discovered in 1860 by the French archaeologist Auguste Mariette during excavations in the Valley Temple, located near the iconic Great Sphinx.
 Material and Craftsmanship
 The sculpture is masterfully crafted from a solid block of dark diorite. This incredibly hard and durable stone was deliberately chosen to ensure the monument would last for eternity, perfectly reflecting the pharaoh's enduring power and the exceptional skill of ancient Egyptian artisans.
 Symbolism and Divine Protection
 One of the most breathtaking and unique features of this masterpiece is the hidden symbolism visible primarily from the side and back. The falcon god Horus is elegantly perched directly behind the king's head, securely wrapping his wings around the pharaoh's royal headdress. This intimate and powerful embrace symbolizes ultimate divine protection, reinforcing Khafre's legitimate kingship and his status as a living god on earth.","نبذة عامة والاكتشاف
 يصور هذا التمثال المهيب الفرعون ""خفرع""، أحد أقوى حكام الأسرة الرابعة في مصر القديمة وباني الهرم الثاني في الجيزة. اكتُشف هذا الأثر العظيم في عام 1860 على يد عالم الآثار الفرنسي ""أوغوست مارييت"" أثناء أعمال الحفر والتنقيب في معبد الوادي الواقع بالقرب من تمثال أبو الهول.
 الخامات وبراعة الصنع
 نُحت هذا التمثال ببراعة فائقة من كتلة صلبة من حجر الديوريت الداكن. وقد اختار النحات المصري القديم هذا الحجر شديد الصلابة والمتانة لضمان بقاء التمثال صامداً إلى الأبد، مما يعكس قوة الفرعون الخالدة والمهارة الاستثنائية التي تمتع بها فنانو عصر الدولة القديمة.
 الرمزية والحماية الإلهية
 من أروع التفاصيل الفنية في هذه التحفة هي الرمزية الخفية التي تظهر بوضوح عند النظر للتمثال من الجانب أو الخلف. حيث يقف الإله ""حورس"" على هيئة صقر خلف رأس الملك مباشرة، فاردًا جناحيه ليحتضن غطاء الرأس الملكي. يرمز هذا العناق الإلهي إلى أقصى درجات الحماية، ويؤكد بقوة على مكانة الفرعون كحاكم يستمد شرعيته من الآلهة.",The Egyptian Museum,Statue,15
King Djoser,الملك زوسر,"Overview and Historical Context
 This remarkable artifact depicts King Djoser, a visionary pharaoh and a founding figure of the Old Kingdom epoch. He is historically celebrated for commissioning the Step Pyramid at Saqqara, which stands as the first important monumental stone building in ancient Egypt. Dating back to the Third Dynasty, this masterpiece holds immense historical weight as it is globally recognized as the oldest known life-sized Egyptian statue ever discovered.
 Artistic Features and Royal Attire
 The pharaoh is depicted seated with an aura of imposing majesty. He is elegantly dressed in a traditional jubilee cloak, a garment closely associated with the royal Heb-Sed festival of renewal. His face is framed by a heavy tripartite wig, which is meticulously covered by a classic royal head-cloth, showcasing the early and fascinating evolution of pharaonic iconography.
 Discovery and Current Location
 This pioneering sculpture was famously discovered in 1924, hidden securely within a serdab—a completely sealed, small stone chamber—located within his sprawling funerary complex at Saqqara. Today, this extraordinary piece of ancient history is proudly housed and displayed at the Egyptian Museum in Cairo.","نبذة عامة والسياق التاريخي
 يصور هذا الأثر الاستثنائي الملك ""زوسر""، الفرعون صاحب الرؤية والذي يُعد من مؤسسي عصر الدولة القديمة. يشتهر الملك تاريخياً بأنه من أمر ببناء الهرم المدرج بسقارة، والذي يُعد أول وأهم مبنى حجري ضخم في مصر القديمة. يعود تاريخ هذا التمثال إلى الأسرة الثالثة، ويحظى بقيمة تاريخية لا تقدر بثمن حيث يُصنف عالمياً كأقدم تمثال مصري بالحجم الطبيعي يتم اكتشافه على الإطلاق.
 السمات الفنية والزي الملكي
 يظهر الفرعون جالساً بوقار وهيبة تعكس مكانته الإلهية. وهو يرتدي عباءة احتفالية تقليدية ترتبط باحتفالات ""اليوبيل"" الملكي (عيد السد). ويُحيط بوجهه شعر مستعار كثيف مقسم إلى ثلاثة أجزاء، يغطيه غطاء رأس ملكي كلاسيكي، مما يعكس البدايات الأولى لتطور الشارات والأيقونات الملكية الفرعونية.
 الاكتشاف ومقر العرض الحالي
 تم اكتشاف هذا الأثر الرائد في عام 1924 مخبأً بأمان داخل ما يُعرف بـ ""السرداب"" (وهي غرفة حجرية صغيرة ومغلقة تماماً) داخل مجموعته الجنائزية الشاسعة في منطقة سقارة. واليوم، تُعرض هذه القطعة الأثرية الرائعة التي تمهد لتاريخ الفن المصري القديم بكل فخر في المتحف المصري بالقاهرة.",The Egyptian Museum,Statue,16
King Khufu Solar Boat,مركب الشمس للملك خوفو,"Overview and Monumental Scale
 This magnificent 4,500-year-old full-size cedarwood vessel is a true marvel of ancient engineering. Discovered near the Great Pyramid of Giza, it holds the remarkable distinction of being one of the oldest, largest, and best-preserved vessels from antiquity, measuring an astonishing 43 meters in length.
 Purpose and The Divine Journey
 Often referred to as a ""solar barque,"" this incredible ship was not built for ordinary navigation. It was a sacred, ritualistic vessel purposefully designed to carry the resurrected King Khufu as he accompanied the sun god across the heavens in his eternal journey through the afterlife.
 Discovery and Current Location
 The legendary boat was miraculously discovered in 1954, entirely disassembled into over a thousand wooden pieces. After years of meticulous reconstruction, it was housed in its own dedicated museum on the Giza Plateau for decades. Recently, in a historic and highly celebrated move, this ancient masterpiece was safely transported intact to its new permanent home at the Grand Egyptian Museum (GEM) in Giza.","نبذة عامة والحجم الضخم
 تُعد هذه السفينة الضخمة المصنوعة من خشب الأرز، والتي يبلغ عمرها 4500 عام، معجزة حقيقية من معجزات الهندسة القديمة. اكتُشفت هذه التحفة الخشبية بالقرب من الهرم الأكبر بالجيزة، وتتميز بكونها واحدة من أقدم وأكبر وأفضل السفن المحفوظة من العصور القديمة على مستوى العالم، حيث يبلغ طولها المذهل حوالي 43 متراً.
 الهدف والرحلة الإلهية
 لم تُبنَ هذه السفينة المذهلة، والتي تُعرف باسم ""مركب الشمس""، من أجل الملاحة العادية. بل كانت عبارة عن مركب طقسي مقدس صُمم خصيصاً ليحمل الفرعون ""خوفو"" بعد بعثه ليرافق إله الشمس في رحلته السماوية الخالدة عبر العالم الآخر.
 الاكتشاف ومقر العرض الحالي
 بأعجوبة أثرية، تم اكتشاف هذا المركب الأسطوري في عام 1954 مفككاً بالكامل إلى أكثر من ألف قطعة خشبية. وبعد سنوات من التجميع والترميم الدقيق، عُرض المركب لعقود طويلة داخل متحف خاص به في هضبة الجيزة. ومؤخراً، وفي عملية نقل هندسية وتاريخية معقدة، تم نقل هذه التحفة الأثرية قطعة واحدة لتستقر بأمان في مقرها الدائم والجديد داخل المتحف المصري الكبير بالجيزة.",The Grand Egyptian Museum,Statue,17
