City ID,City Name (English),City Name (Localized),Description (English),Description (Localized),Center Latitude,Center Longitude,Display Order
CITY-001,Cairo,القاهرة,"Cairo is the capital of the Arab Republic of Egypt and its largest and most important city. It is the largest Arab city in terms of population and area, and it is part of the largest urban agglomeration in Africa, the Arab world, and the Middle East.
Cairo is one of the most culturally and civilizationally diverse cities, having witnessed many different historical eras throughout the ages. It contains numerous ancient and modern landmarks, making it an open museum featuring Pharaonic, Greek, Roman, Coptic, and Islamic antiquities. The city's history dates back to the emergence of the Pharaonic city of On, or Heliopolis (present-day Ain Shams), which is considered one of the oldest cities in the ancient world. As for Cairo in its current style, its establishment dates back to the Islamic conquest of Egypt by Amr ibn al-Aas in 641 AD and his founding of the city of Fustat, followed by the Abbasids' establishment of al-Askar, and then Ahmad ibn Tulun's construction of al-Qata'i. With the arrival of the Fatimids in Egypt from Ifriqiya (modern-day Tunisia), the commander Jawhar al-Siqilli began building the new capital of the Fatimid state by order of the Fatimid Caliph al-Mu'izz li-Din Allah in 969 AD, and the Caliph named it ""Cairo."" Throughout the ages, Cairo has been given many names, such as the City of a Thousand Minarets, Egypt the Protected, and al-Mu'izz's Cairo. During the Islamic era, Cairo witnessed the finest arts of architecture, represented in the construction of citadels, fortresses, walls, schools, and mosques, which gave it an aesthetic touch that remains in its old neighborhoods to this day.
Cairo is both a governorate and a city; it is a governorate whose entire area is occupied by a single city, and at the same time, a large city that constitutes a governorate in itself, divided into 37 districts. Cairo celebrates its national day on July 6th of each year, the day that marks Commander Jawhar al-Siqilli laying the city's foundation stone in 969 AD, making Cairo now more than 1,055 years old.","القاهرة هي عاصمة جمهورية مصر العربية وأكبر وأهم مدنها، وتعد أكبر مدينة عربية من حيث تعداد السكان والمساحة، كما أنها جزء من أكبر تجمع حضري في أفريقيا والوطن العربي والشرق الأوسط.
تعد مدينة القاهرة من أكثر المدن تنوعاً ثقافياً وحضارياً، حيث شهدت العديد من الحقب التاريخية المختلفة على مر العصور، وتوجد فيها العديد من المعالم القديمة والحديثة، فأصبحت متحفاً مفتوحاً يضم آثاراً فرعونية ويونانية ورومانية وقبطية وإسلامية. يعود تاريخ المدينة إلى نشأة مدينة أون الفرعونية أو هليوبوليس «عين شمس حالياً» والتي تعد واحدة من أقدم مدن العالم القديم. أما القاهرة بطرازها الحالي فيعود تاريخ إنشائها إلى الفتح الإسلامي لمصر على يد عمرو بن العاص عام 641 م وإنشائه مدينة الفسطاط، ثم إنشاء العباسيين لمدينة العسكر، فبناء أحمد بن طولون لمدينة القطائع، ومع دخول الفاطميين مصر قادمين من إفريقية (تونس حالياً) بدأ القائد جوهر الصقلي في بناء العاصمة الجديدة للدولة الفاطمية بأمر من الخليفة الفاطمي المعز لدين الله وذلك في عام 969م، وأطلق عليها الخليفة اسم «القاهرة». وأطلق على القاهرة- على مر العصور- العديد من الأسماء، فهي مدينة الألف مئذنة ومصر المحروسة وقاهرة المعز. شهدت القاهرة خلال العصر الإسلامي أرقى فنون العمارة التي تمثلت في بناء القلاع والحصون والأسوار والمدارس والمساجد، مما منحها لمحةً جماليةً لا زالت موجودة بأحيائها القديمة حتى الآن.
وتعد القاهرة محافظة ومدينة، أي أنها محافظة تشغل كامل مساحتها مدينة واحدة، وفي نفس الوقت مدينة كبيرة تشكل محافظة بذاتها، وتنقسم إلى 37 حياً، وتحتفل القاهرة بعيدها القومي في 6 يوليو من كل عام، وهو اليوم الذي يوافق وضع القائد جوهر الصقلي حجر أساس المدينة عام 969م، ليبلغ عمر القاهرة الآن ما يربو على 1055 عام.",30.04499621,31.23531255,0
CITY-020,Luxor,الأقصر,"Luxor is a city in Upper Egypt that stands on the site of ancient Thebes, the pharaonic capital during the height of the Egyptian Empire. It is globally renowned for containing about one-third of the world’s ancient monuments.",تعد مدينة الأقصر، الواقعة في صعيد مصر، واحدة من أعظم المدن التاريخية في العالم، حيث بُنيت على أطلال مدينة طيبة القديمة، عاصمة مصر في عصر الدولة الحديثة. تُعرف عالمياً بأنها تضم ما يقرب من ثلث آثار العالم,25.68775472,32.63948276,1
CITY-003,Alexadria,الاسكندرية,"Alexandria Governorate is a vital coastal and historical region in northern Egypt, located along the Mediterranean Sea with a total area of about 2,818 square kilometers. As Egypt's second-largest urban governorate, it is home to over 5.5 million people. Founded by Alexander the Great in 331 BCE, the city served as Egypt's capital for centuries and became a beacon of Hellenistic culture, globally renowned for ancient wonders like the Lighthouse and the Great Library of Alexandria.

Today, Alexandria is a massive economic and industrial powerhouse. It hosts 40% of Egypt's industrial sector—including petroleum, chemicals, and textiles—and features the country's most important maritime port, which facilitates significant global trade. Rich in cultural heritage, the governorate beautifully blends Pharaonic, Hellenistic, Roman, and Islamic influences, remaining a vibrant, contemporary hub for tourism, education, and commerce.","تُعد محافظة الإسكندرية منطقة ساحلية وتاريخية حيوية في شمال مصر، وتقع على امتداد البحر الأبيض المتوسط بمساحة تبلغ حوالي 2,818 كيلومتراً مربعاً. تُصنف كأنها ثاني أكبر محافظة حضرية في مصر، حيث يتجاوز تعداد سكانها 5.5 مليون نسمة. أسسها الإسكندر الأكبر عام 331 قبل الميلاد، لتصبح عاصمة مصر لعدة قرون ومركزاً للثقافة الهلنستية، حيث اشتهرت عالمياً بمعالم تاريخية عظيمة مثل فنار الإسكندرية ومكتبتها العريقة.

في وقتنا الحاضر، تُمثل الإسكندرية قوة اقتصادية وصناعية ضخمة. فهي تستحوذ على 40% من قطاع الصناعة في مصر، بما في ذلك صناعات البترول والكيماويات والمنسوجات، وتضم أهم ميناء بحري في البلاد والذي يُسهل حركة التجارة العالمية. تزخر المحافظة بتراث ثقافي غني يمزج بسلاسة بين الحضارات الفرعونية والهلنستية والرومانية والإسلامية، لتظل اليوم مركزاً حديثاً ونابضاً بالحياة للسياحة والتعليم والتجارة.",31.197731,29.892544,2
CITY-002,Giza,الجيزة,"Giza Governorate is a significant region in Egypt, known for its historical and cultural importance. It is located in the center of the country, opposite Cairo, and includes the city of Giza as its capital. The governorate encompasses a stretch of the left bank of the Nile Valley and a large portion of Egypt's Western Desert, including Bahariya Oasis. Giza is famous for its ancient monuments, such as the Great Sphinx and the Pyramids of Giza, and is a major tourist destination. The Grand Egyptian Museum, set to open in 2025, will further enhance its status as a cultural and historical hub. The governorate's population is diverse, with a mix of urban and rural areas, and it has been working on improving infrastructure and public services to cater to its residents.","تُعد محافظة الجيزة منطقة بالغة الأهمية في مصر، وتشتهر بمكانتها التاريخية والثقافية. تقع المحافظة في وسط البلاد مقابل القاهرة، وتتخذ من مدينة الجيزة عاصمة لها. يمتد نطاق المحافظة ليشمل شريطاً على الضفة الغربية (اليسرى) لوادي النيل، وجزءاً كبيراً من الصحراء الغربية في مصر، بما في ذلك الواحات البحرية.

تشتهر الجيزة بآثارها العريقة، مثل تمثال أبو الهول وأهرامات الجيزة، وتُعد وجهة سياحية رئيسية. كما سيعمل المتحف المصري الكبير، المقرر افتتاحه في عام 2025، على تعزيز مكانتها كمركز ثقافي وتاريخي. يتسم التركيب السكاني للمحافظة بالتنوع، حيث تضم مزيجاً من المناطق الحضرية والريفية، وتواصل جهودها في تحسين البنية التحتية والخدمات العامة لتلبية احتياجات سكانها.",30.013651,31.208138,3
CITY-021,Aswan,أسوان,"Aswan is a city in Southern Egypt, it is the capital of the Aswan Governorate. The city of Aswan is among the oldest continuously inhabited cities, with its recorded history spanning over 2,600 years.
Aswan is the ancient city of Swenett, later known as Syene, which in antiquity was the frontier town of Ancient Egypt facing the south. Swenett is supposed to have derived its name from an Egyptian goddess with the same name. This goddess later was identified as Eileithyia by the Greeks and Lucina by the Romans during their occupation of Ancient Egypt because of the similar association of their goddesses with childbirth, and of which the import is ""the opener"". The ancient name of the city also is said to be derived from the Egyptian symbol for ""trade"", or ""market"".","مدينة أسوان هي عاصمة محافظة أسوان في مصر، اعتبرت أسوان تاريخيًا إحدى أهم مدن جنوب مصر والبوابة الجنوبية لها، حيث يقع إلى الجنوب منها الشلال الأول لنهر النيل والذي مَثَّل حدًا طبيعيًا بين صعيد مصر والنوبة. تقع المدينة على الضفة الشرقية لنهر النيل. يصلها بالقاهرة خط سكة حديد وطرق برية صحراوية وزراعية ومراكب نيلية ورحلات جوية محلية. وهي واحدة من المدن المبدعة المسجلة في قائمة اليونسكو في مجال الحرف والفنون منذ 2005م.
بدأت أهمية أسوان في عصر الدولة القديمة، حيث كانت تمثل الحدود الجنوبية للبلاد. كما كانت مركز تجمع الجيوش في عصور الملوك الوسطى لمحاولتهم مد حكمهم جنوباً. كما لعبت دوراً حاسماً في محاربة الهكسوس. كما حازت جزيرة فيلة، موطن الإلهة «إيزيس» على اهتمام البطالمة الذين أكملوا معبدها الكبير. كما أقام الرومان المعابد على الطراز الفرعوني للتقرب من المصريين. ومن أمثلة هذه المعابد، معبد صغير في جزيرة فيلة أقامه الإمبراطور تراجان.
وعندما أصبحت المسيحية الدين الرسمي للبلاد في القرن الخامس الميلادي، تحولت معظم معابد الفراعنة إلى كنائس، فكانت جزيرة فيلة مركزاً لأحد الأسقفيات، مما أدى إلى انتشار المسيحية جنوباً تجاه بلاد النوبة في مصر والسودان.
ومنذ انتشار الإسلام وظهروه؛ عثر على العديد من الكتابات بالخط الكوفي التي ترجع إلى القرن الأول الهجري. وازدهرت أسوان في العصر الإسلامي في القرن العاشر الميلادي حيث كانت طريقاً إلى «عيذاب"" على ساحل البحر الأحمر، حيث تبحر السفن منها إلى الحجاز واليمن والهند. كما كانت مركزًا ثقافيًا هامًا في القرنين السادس والسابع الهجري، وكان بها ثلاث مدارس أقدمها مدرسة أسوان، والمدرسة السيفية، والمدرسة النجمية في أسوان.
كما أنشأ فيها محمد علي أول مدرسة حربية في مصر عام 1837 م.",24.08925459,32.89984037,4
CITY-008,Sinai ,سيناء,"Known as the ""Land of Turquoise,"" the Sinai Peninsula is a unique geographical bridge between Africa and Asia. It is world-renowned for its stunning natural diversity, ranging from the majestic rugged mountains of the south to the crystal-clear coral reefs of the Red Sea. Sinai holds immense historical and spiritual significance, hosting sacred religious sites, alongside being a premier destination for adventure, diving, and eco-tourism.","أرض الفيروز""، شبه جزيرة تربط بين قارتي آسيا وأفريقيا، تمتاز بتنوعها الجغرافي الفريد بين الجبال الشاهقة والشواطئ المرجانية، وتعد مركزاً عالمياً للسياحة الدينية والترفيهية والعلاجية.",29.3208853,34.13292038,5
CITY-012,Minya,المنيا,"Minya is a prominent city and the capital of the Minya Governorate in Upper Egypt, located on the western bank of the Nile River approximately 245 kilometers south of Cairo. Dubbed the ""Bride of Upper Egypt"" due to its strategic location bridging the north and south, the city is an important cultural and educational center that is home to Minya University and one of the highest concentrations of Coptic Christians in the country. Minya boasts a deep, diverse history dating back to the Predynastic Period when it was known as the ""Oryx"" nome. Throughout the ages, it flourished as a center of Greco-Roman culture, Byzantine monasticism, and Islamic development, notably expanding into a robust medieval city under the 9th-century Abbasid ruler Ibn Khasib.

In the modern era, Minya experienced a massive economic boom fueled by the high demand for Egyptian cotton during the American Civil War, which left behind a rich legacy of Italian-designed Colonial architecture. The city is also famous for its fierce spirit of independence, having briefly declared itself the ""Empire of Minya"" during the 1919 Egyptian Revolution. Today, Minya remains a vital archaeological hub, offering profound insights into ancient daily life through the rock-cut tombs of Beni Hasan and continuing to yield monumental discoveries—including Ptolemaic mummies, Roman-era tombs, and early Christian texts—at sites like Tuna el-Gebel and Oxyrhynchus.","تُعد المنيا مدينة بارزة وعاصمة لمحافظة المنيا في صعيد مصر، وتقع على الضفة الغربية لنهر النيل على بُعد حوالي 245 كيلومتراً جنوب القاهرة. تُلقب بـ ""عروس الصعيد"" بفضل موقعها الاستراتيجي الذي يربط بين شمال مصر وجنوبها، وتُمثل مركزاً ثقافياً وتعليمياً مهماً يضم جامعة المنيا وواحدة من أكبر نسب التجمعات للمسيحيين الأقباط في البلاد. تتمتع المنيا بتاريخ عميق ومتنوع يعود إلى عصر ما قبل الأسرات عندما كانت تُعرف بإقليم ""المها"". وعلى مر العصور، ازدهرت كمركز للثقافة اليونانية الرومانية، والرهبنة البيزنطية، والتطور الإسلامي؛ حيث تحولت إلى مدينة نابضة بالحياة في العصور الوسطى في عهد الحاكم العباسي ""ابن خصيب"" في القرن التاسع.

في العصر الحديث، شهدت المنيا طفرة اقتصادية هائلة مدفوعة بالطلب المرتفع على القطن المصري إبان الحرب الأهلية الأمريكية، مما ترك إرثاً غنياً من العمارة الكولونيالية ذات التصميم الإيطالي. كما تُعرف المدينة بروح الاستقلال الشجاعة، حيث أعلنت نفسها بشكل استثنائي ولفترة وجيزة ""إمبراطورية المنيا"" خلال ثورة 1919. واليوم، لا تزال المنيا مركزاً أثرياً حيوياً، حيث تقدم رؤى عميقة عن الحياة اليومية القديمة من خلال المقابر المنحوتة في الصخر في ""بني حسن""، وتواصل تقديم اكتشافات أثرية ضخمة—بما في ذلك المومياوات البطلمية، والمقابر الرومانية، والنصوص المسيحية المبكرة—في مواقع هامة مثل ""تونا الجبل"" و""البهنسا"".",28.088972,30.756105,6
CITY-031,Sohag,سوهاج,"Sohag, also spelled as Suhag or Suhaj, is a city on the west bank of the Nile in Egypt. The city has been the capital of Sohag Governorate since 1960, before which the capital was Girga and the name of the governorate was Girga Governorate. The city also included Esna Governorate (nowadays part of Qena Governorate).",سُوهاج، هي مدينة تقع على الضفة الغربية لنهر النيل في مصر. وهي عاصمة محافظة سوهاج منذ عام 1960، والتي كانت تعرف سابقاً بمحافظة جرجا وعاصمتها جرجا. وكانت المحافظة تضم في السابق المنطقة المعروفة اليوم بمحافظة قنا.,26.56941209,31.68135563,7
CITY-030,Qena,قِنا,"Qena is the capital of the Qena Governorate of Egypt. Located in Upper Egypt, Qena is situated on the east bank of the Nile, it was known in antiquity as Kaine and Maximianopolis. Gauthier identifies Qena with ancient Shabt.",قِنـا، مدينة مصرية تقع في صعيد مصر شرق نهر النيل، وهي عاصمة محافظة قنا وأكبر مدنها. من أشهر معالمها مسجد عبد الرحيم القناوي ومعبد دندرة. احتلت مدينة قنا المركز الثالث في جائزة تجميل المدينة في دورتها الثامنة عام 2006 الصادرة من منظمة المدن العربية.,26.15872941,32.70089926,8
